project	project_alt_name	tag2	tag	category	year	annual_allocation	non_annual_allocation	total	notes_annual	notes_non-annual
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1980			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1981			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1982			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1983			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1984			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1985			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1986			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1987			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1988			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1989			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1990			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1991			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1992			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1993			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1994			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1995			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1996			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1997			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1998			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1999			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2000			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2001			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2002			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2003			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2004			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2005			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2006			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2007		1170	1170		To fund the renovation of its centre in Kai Yip Estate
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2008			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2009			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2010			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2011			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2012			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2013			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2014			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2015		2660	2660		To fund its community mutual support project for the disabled for three years
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2016			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2017			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1980			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1981		65	65		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1982			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1983			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1984			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1985		80	80		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1986			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1987			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1988			0		
